
="",="Annual food consumption(USD)"
="",="(1)",="(2)",="(3)"

="Treatment",="-151.137*",="-160.623**",="-160.623"
="",="(76.867)",="(55.858)",="(128.117)"

="Experienced crop damage",="",="179.958**",="179.958**"
="",="",="(58.574)",="(66.459)"

="Experienced drought/flood",="",="-160.808**",="-160.808*"
="",="",="(58.832)",="(71.751)"

="Number of members in the household",="",="422.156***",="422.156***"
="",="",="(10.873)",="(17.440)"

="Constant",="2354.145***",="680.744***",="680.744***"
="",="(54.384)",="(66.021)",="(124.842)"

="Observations",="1758",="1758",="1758"
="Clustering",="No",="No",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
